unique_id,ds,AutoNBEATS
hotel_7,2023-07-22,0.48304522
hotel_7,2023-07-23,0.46452338
hotel_7,2023-07-24,0.43293118
hotel_7,2023-07-25,0.4472568
hotel_7,2023-07-26,0.5123136
hotel_7,2023-07-27,0.60605246
hotel_7,2023-07-28,0.6428501
hotel_70,2023-07-01,0.8082016
hotel_70,2023-07-02,0.709706
hotel_70,2023-07-03,0.6767401
hotel_70,2023-07-04,0.69112015
hotel_70,2023-07-05,0.71430355
hotel_70,2023-07-06,0.7215359
hotel_70,2023-07-07,0.7633283
hotel_70,2023-07-08,0.7594478
hotel_70,2023-07-09,0.68385327
hotel_70,2023-07-10,0.6549747
hotel_70,2023-07-11,0.67570627
hotel_70,2023-07-12,0.6834533
hotel_70,2023-07-13,0.6963964
hotel_70,2023-07-14,0.737185
hotel_70,2023-07-15,0.75015163
hotel_70,2023-07-16,0.67529225
hotel_70,2023-07-17,0.65835553
hotel_70,2023-07-18,0.69007766
hotel_70,2023-07-19,0.6831406
hotel_70,2023-07-20,0.70621866
hotel_70,2023-07-21,0.74124634
hotel_70,2023-07-22,0.7431019
hotel_70,2023-07-23,0.6667765
hotel_70,2023-07-24,0.6497686
hotel_70,2023-07-25,0.70735234
hotel_70,2023-07-26,0.6846893
hotel_70,2023-07-27,0.69101113
hotel_70,2023-07-28,0.7585606
hotel_77,2022-12-27,-0.0011628643
hotel_77,2022-12-28,0.0021286067
hotel_77,2022-12-29,6.112084e-05
hotel_77,2022-12-30,-0.00084900483
hotel_77,2022-12-31,-0.004146673
hotel_77,2023-01-01,-0.0013460107
hotel_77,2023-01-02,-0.0053066835
hotel_77,2023-01-03,-0.0033234842
hotel_77,2023-01-04,-0.0019758046
hotel_77,2023-01-05,-0.00070023537
hotel_77,2023-01-06,-0.0032984782
hotel_77,2023-01-07,-0.0013863165
hotel_77,2023-01-08,-0.0049449876
hotel_77,2023-01-09,-0.0047898386
hotel_77,2023-01-10,-0.0047542527
hotel_77,2023-01-11,0.001141319
hotel_77,2023-01-12,-0.0037859045
hotel_77,2023-01-13,-0.0007701032
hotel_77,2023-01-14,-0.004315093
hotel_77,2023-01-15,-0.005766049
hotel_77,2023-01-16,-0.0019976534
hotel_77,2023-01-17,-0.004473999
hotel_77,2023-01-18,0.00023120642
hotel_77,2023-01-19,-0.0036412105
hotel_77,2023-01-20,0.0004452765
hotel_77,2023-01-21,-0.008114606
hotel_77,2023-01-22,-0.0030075908
hotel_77,2023-01-23,-0.0045243353
hotel_84,2023-07-01,0.9517066
hotel_84,2023-07-02,0.9186453
hotel_84,2023-07-03,0.87513626
hotel_84,2023-07-04,0.8791828
hotel_84,2023-07-05,0.89394933
hotel_84,2023-07-06,0.88044626
hotel_84,2023-07-07,0.90101916
hotel_84,2023-07-08,0.9569517
hotel_84,2023-07-09,0.9195317
hotel_84,2023-07-10,0.8754355
hotel_84,2023-07-11,0.8809664
hotel_84,2023-07-12,0.8923123
hotel_84,2023-07-13,0.8699888
hotel_84,2023-07-14,0.8901124
hotel_84,2023-07-15,0.94808334
hotel_84,2023-07-16,0.9171932
hotel_84,2023-07-17,0.8739665
hotel_84,2023-07-18,0.88869923
hotel_84,2023-07-19,0.8795687
hotel_84,2023-07-20,0.86538047
hotel_84,2023-07-21,0.90289193
hotel_84,2023-07-22,0.9444994
hotel_84,2023-07-23,0.9158776
hotel_84,2023-07-24,0.8705648
hotel_84,2023-07-25,0.8987113
hotel_84,2023-07-26,0.88278425
hotel_84,2023-07-27,0.8751584
hotel_84,2023-07-28,0.8981877
hotel_91,2023-07-01,0.9115918
hotel_91,2023-07-02,0.8435398
hotel_91,2023-07-03,0.8839657
hotel_91,2023-07-04,0.971119
hotel_91,2023-07-05,0.9636444
hotel_91,2023-07-06,0.89842254
hotel_91,2023-07-07,0.9058648
hotel_91,2023-07-08,0.9332851
hotel_91,2023-07-09,0.84766114
hotel_91,2023-07-10,0.87531656
hotel_91,2023-07-11,0.9615748
hotel_91,2023-07-12,0.9626361
hotel_91,2023-07-13,0.8770356
hotel_91,2023-07-14,0.9165864
hotel_91,2023-07-15,0.93655
hotel_91,2023-07-16,0.85587406
hotel_91,2023-07-17,0.88904595
hotel_91,2023-07-18,0.9620006
hotel_91,2023-07-19,0.9726179
